Terminology,Definition
Accessibility of Contaminant Source (ACS),"Accessibility of Contaminant Source (ACS) assesses the transient impact of a contaminant source on a specific location within a limited time period. It measures how quickly and effectively contaminants reach a target point, providing insight into short-term exposure risks."
Accessibility of Supply Air (ASA),"An index that measures the ability of a ventilation system to deliver fresh air from each supply inlet to a specific point or zone within a finite time period. ASA is particularly useful in transient conditions and emergency scenarios, as it reflects the dynamic impact of each inlet on the local environment, with higher values indicating quicker access to fresh air."
Age of air,"An index introduced to assess ventilation performance by quantifying the time required for supply air to travel from its entry point to a specified location within an indoor space. Conventionally, the age at air diffuser inlets is assumed to be zero—a practice suited to systems without recirculation. Lower age values indicate more rapid air exchange and improved indoor air quality."
Air change effectiveness (ACE),"It is defined as the ratio of the age of air that would occur throughout the room if the air were perfectly mixed to the average age of air where occupants breathe. An ACE value of 1 indicates perfect mixing, where the air in the breathing zone is as old as the air being exhausted. Values greater than 1 suggest that the ventilation system is effectively delivering fresh air to the breathing zone, while values less than 1 indicate that the system is less effective in this regard."
Air change per hour (ACH),An index that measures how many times the air in a space is replaced with fresh air in one hour.Also known as air exchange rate or air change rate.
Air curtain ventilation (ACV),"A ventilation strategy employing high-velocity air jets to direct heat and contaminants toward an exhaust system, thereby enhancing contaminant capture and containment. Typically, supply units are installed in a false ceiling or mounted on a wall. The air is directed downward along the wall, reaches the floor, and then spreads laterally. Once spread, the airflow forms an effective barrier that segregates zones of fresh and contaminated air, channeling impurities toward the exhaust system."
Air distribution index for combined thermal and ventilation effectiveness (ADI)ϵt + ϵc,"The Air Distribution Index (ADI)ϵt + ϵc is a composite metric that simultaneously assesses thermal comfort and air quality in indoor environments. It is calculated by combining the thermal comfort number (NT.C.) and the air quality number (NA.Q.), which are derived from several key parameters."
Air distribution index for combined thermal and ventilation effectiveness (ADI)ϵt + ϵc,"(ADI)ϵt + ϵc = (1 - |S|/3) ϵt + (Tn/Tp) ϵc
 
 ∣S∣ is the absolute value of the average overall thermal sensation over the exposure time
 ​ϵt is the ventilation effectiveness for heat removal
 Tn is the room time constant
 Tp is the local mean age of air
 ​ϵc is the ventilation effectiveness for contaminant removal."
Air distribution performance index (ADPI),"ADPI is defined as the percentage of measurement points within the occupied zone that meet specific comfort criteria, including acceptable air velocity and temperature differences. A higher ADPI indicates a more effective air distribution system, contributing to improved occupant comfort."
Air dryness,"A subjective perception of how “dry” or “wet” the indoor air feels, primarily influenced by relative humidity. Low humidity can lead to sensations of dryness (e.g., skin or throat irritation), whereas higher humidity may feel moist or clammy."
Air freshness,"A subjective perception of how “fresh” or “stuffy” the indoor air is. Fresh air typically feels clean, odor-free, and well-ventilated, while stuffy air can feel stale or lacking in adequate ventilation."
Air jet,"A high-velocity stream of air directed toward a specific area to influence thermal conditions and air quality. In air curtain systems, for example, the air jet directs heat and impurities toward an exhaust system"
Air movement acceptability (AMA),"Air movement acceptability refers to the degree to which building occupants find the airflow within an indoor environment comfortable and satisfactory. Factors influencing air movement acceptability include air velocity, temperature, humidity, and individual preferences."
Air movement preference vote (AMP),"The Air Movement Preference (AMP) vote is a subjective assessment used to gauge an individual's desire for changes in air movement within their immediate environment. Typically, participants are asked to indicate their preference using a scale with options such as:
 
 ""Less air movement""
 ""No change""
 ""More air movement"""
Alliesthesia,"A physiological concept describing the pleasure or pleasantness experienced when a thermal imbalance is corrected across body sites. It is divided into two forms:
 
 Temporal Alliesthesia: Pleasure arising from whole-body changes in skin and/or core temperatures that correct a global thermal imbalance (e.g., moving from cold to warm).
 Spatial Alliesthesia: Pleasure derived from local thermal stimuli on a specific body region that offset the general thermal state of the rest of the body.e.g., warming particular sites on an otherwise cool body surface"
ASHRAE seven-point thermal sensation scale,"Scale used to measure thermal sensation based on Fanger's heat balance equation. The scale ranges from -3 to +3 and consists of the following verbal anchors: cold, cool, slightly cool, neutral, slightly warm, warm, and hot"
Average Equivalent Temperature (AET),"Calculated value that represents the average temperature experienced by an occupant's body, derived by considering the surface area-weighted average temperature of different body parts such as the head, feet, and abdomen."
Background pollutant concentration,"Background Pollutant Concentration refers to the level of airborne contaminants present in an indoor environment as a result of the general background ventilation system. It represents the pollutant concentration maintained by central HVAC systems, mechanical ventilation, infiltration, and other passive sources before additional personalized interventions are applied."
Breathing Zone (BZ),"The Breathing Zone (BZ) refers to the immediate air space surrounding an individual's nose and mouth, typically within a 0.3 m (10-inch) radius, where inhaled air is directly drawn from"
Building automation system,"Allows an operator to access, control, and monitor all connected building systems from a single interface"
Clothing evaporative resistance,"A measure of how much clothing impedes moisture (sweat) from evaporating off the skin. Lower evaporative resistance indicates that sweat can evaporate more easily, enhancing the wearer’s cooling and comfort."
concentration distribution,"This term refers to the spatial variation of a contaminant's concentration within a given space. It results from the combined effects of contaminant generation, diffusion, and ventilation. For example, in a restroom setting, measurements might show that at a lower ventilation rate (e.g., ACH=3.8), contaminants from a toilet stall diffuse broadly throughout the space. In contrast, at higher ventilation rates (e.g., ACH=7.6 or 11.3), although contaminants still travel from the source to the exhaust, their spread is more confined, leading to a steeper gradient in concentration levels."
Confidence Interval,"In the context of the systematic review and meta-analysis, confidence intervals are used to express the uncertainty and precision of the estimated effects . The confidence interval provides a range around the point estimate that is likely to include the true population parameter, typically at a 95% confidence level. Eg for a study on energy performance improvements due to a new technology, If the 95% confidence interval is calculated as [15%, 25%], this indicates that, based on given data, there is a 95% probability that the actual reduction in energy use is between 15% and 25%."
Confluent jet ventilation,"Confluent Jet Ventilation (CJV) involves the use of multiple jets that converge or interact to form a unified airflow pattern. This interaction can lead to more uniform air distribution and improved thermal comfort within the space. CJV systems are designed to combine the benefits of both mixing and displacement ventilation, offering enhanced control over airflow patterns and thermal conditions."
Contact Area,"The region of direct interface between a seated individual’s body (e.g., buttocks and back) and the seat surfaces (cushion and backrest). In this zone, heat conduction dominates the thermal exchange, contrasting with non-contact areas where conduction is often negligible compared to convective and radiative heat transfer."
Contaminant removal effectiveness,"Contaminant Removal Effectiveness is a metric that quantifies the ability of a ventilation system to lower indoor contaminant concentrations relative to an ideal fully mixed scenario, accounting for spatial non-uniformity from source location, intensity, and airflow patterns. Indices used to evaluate this effectiveness include ventilation efficiency (relative to mixing ventilation), SVE1 (spatial average concentration), SVE2 (mean diffusion radius), SVE5 (exhaust contribution via time-reversed tracing), Accessibility of Contaminant Source (ACS), and Response Coefficient of Contaminant Source (RCCS)."
contaminant sources,"Contaminant Source is the origin or location within an indoor space where pollutants are generated and released. Its intensity and position determine how contaminants are distributed by airflow, influencing both local and overall indoor air quality."
Control Behaviour,"In the context of thermal and IAQ studies, control behaviors refer to the actions occupants take to adjust their immediate environment to achieve a more comfortable thermal state. These behaviors can include adjusting thermostats, operating personal fans, opening or closing windows, and modifying clothing levels."
Convective plume,"A buoyancy-driven upward flow of warmer air around heat sources—such as the human body—due to temperature gradients. In personalized ventilation design, the supply jet must overcome or work with these plumes to effectively deliver fresh air to the occupant’s breathing zone."
Cooling PECS,Personalized Convective Cooling refers to a localized cooling strategy that uses convective heat transfer mechanism.
Piston ventilation,"Piston ventilation is a strategy where conditioned air is supplied at low velocities near the floor level, creating a ""piston"" effect. As the air absorbs heat from occupants and equipment, it becomes warmer and less dense, causing it to rise and carry contaminants upward. The warmer air is then extracted from the space at higher levels, typically near the ceiling. This method enhances indoor air quality and thermal comfort by effectively removing heat and pollutants from the occupied zone."
Cooling with Ventilation,"Personalized ventilation is delivered by personal system that delivers outdoor or treated air which can be conditioned or non conditioned directly to an individual’s personal environment, allowing for personal control over air quality, temperature, and airflow. It aims to improve personal comfort without significantly altering the conditions in the rest of the space or affecting other occupants."
COP,"In the context of PECS, COP is a device-level efficiency metric defined as the ratio of whole-body heat loss (or the beneficial thermal output) provided to the occupant, divided by the power input to the PECS. A higher COP indicates more energy-efficient thermal management."
Core temperature,"Core Temperature refers to the internal body temperature of a human, which is regulated by thermoregulatory mechanisms to maintain physiological stability. It represents the temperature of vital organs such as the brain, heart, and abdominal region, typically measured at sites like the esophagus, rectum, or tympanic membrane.
 
 In the context of PECS, core temperature is a critical indicator of heat stress, thermal comfort, and metabolic heat balance. Maintaining stable core temperature (around 36.5–37.5°C) is essential for human health, comfort, and cognitive performance."
Corrective power - sensation (CP-S) / Thermal correction capacity (sensation),CP-S quantify the sensation differences between occupants with PECS and occupants without PECS (the reference condition)
Corrective Power (CP)/ Thermal correction capacity (TCC),"""CP is defined as difference between two ambient temperatures at which equal thermal sensation is achieved - one with no PECS (the reference condition), and one with PECS in use. CP represents the degree to which a PECS may “correct” the ambient temperature toward neutrality."""
Corrective Power Efficiency (CPE) / Thermal correction capacity efficiency (TCCE),The ratio of power consumed by PECS to its corrective power
Coupled CFD - Thermoregulation Model,An integrated approach that combines CFD simulations with thermoregulation models to predict how a device/hardware/garment affects human thermal responses. This coupling allows for a comprehensive analysis of both the environmental factors and physiological processes influencing thermal comfort.
Coupled model,"When two models exchange data with each other so that they can evolve as a whole.
 
 Eg- Integration of a Computational Fluid Dynamics (CFD) model with JOS 3 thermoregulation model. ​ This integration allows for the analysis of the performance of air ventilation clothing by predicting heat transfer coefficients and physiological responses under different conditions."
cross contamination,"In indoor air distribution, cross contamination refers to the unwanted transfer of air pollutants or contaminants (e.g., CO₂, pathogens) from one occupant’s breathing zone to another, often influenced by airflow patterns and ventilation strategies."
Deposited Fraction (Indirect Contamination),"An index indicating the fraction of airborne particles that settle on nearby surfaces (e.g., computer, desk, floor, occupant surfaces) relative to the initial concentration at the contaminant source. It quantifies the indirect contamination pathway via particle deposition."
diffuse ceiling ventilation(DCV),"Diffuse Ceiling Ventilation (DCV) is a ventilation strategy where fresh air is supplied into the occupied zone through perforations or slots in the suspended ceiling panels. This method allows for the delivery of low-temperature air without causing drafts, thereby enhancing thermal comfort. The large opening area of the supply inlet enables the system to supply air at low velocities, ensuring a uniform distribution of fresh air throughout the room. This approach is particularly effective in utilizing the natural cooling potential of outdoor air, especially in cold and dry climates."
diffusion of air contaminents,"natural movement of air contaminants from their point of generation to the location where they are eventually removed, typically an exhaust opening. This process is driven by the random motion of contaminant molecules, causing them to spread out and move from areas of higher concentration (near the source) to areas of lower concentration (toward the exhaust)."
diffusion range,"Diffusion range refers to the distance or area over which molecules, particles, or contaminants spread as a result of the process of diffusion. In the context of air quality, it indicates how far air contaminants (such as gases, particles, or odors) move from their point of origin as they naturally disperse in the surrounding air due to the random motion of their molecules."
displacement ventilation,"Displacement Ventilation (DV) is a strategy where conditioned air is supplied at low velocities near the floor level. This cool air spreads across the floor, and as it absorbs heat from occupants and equipment, it becomes warmer and less dense. The buoyancy of the warm air causes it to rise, carrying contaminants upward and away from the breathing zone. The warmer air is then extracted from the space at higher levels, typically near the ceiling. This method enhances indoor air quality and thermal comfort by effectively removing heat and pollutants from the occupied zone."
Distal body temperatures.,distal body temperatures refer to the skin temperatures measured at the body’s extremities—such as the hands and feet—which are more responsive to environmental changes and local cooling interventions. These temperatures tend to fluctuate more significantly with changes in ambient conditions and are indicative of peripheral thermoregulatory responses.
Distal skin temperature,"Distal Skin Temperature refers to the temperature of the skin on the body's distal regions, such as the hands, fingers, feet, and toes. These areas are more sensitive to thermoregulation and serve as key indicators of peripheral blood circulation and thermal comfort."
Draft,"draft refers to the sensation of an unwanted or uncomfortable airflow, particularly when the air feels too cold or is moving too quickly, leading to discomfort"
Draft discomfort,"Draft discomfort is the sensation of unease or discomfort caused by air movement that is too strong, cold, or uneven in an indoor environment. It typically occurs when airflow, such as from a fan or ventilation system, directly hits certain parts of the body, leading to localized cooling or irritation."
Draught risk,"The potential for discomfort caused by undesirable or excessive airflow in an indoor space, leading to sensations of cold or uncomfortable air movement. It relates to the likelihood that occupants will experience a chilling effect due to localized air currents moving at certain speeds or temperatures."
Dry eye discomfort,"Dry-eye discomfort refers to the irritation or discomfort experienced when the eyes become excessively dry, often due to exposure to air currents or low humidity"
Effect Size (EFS),"Effect size indicates the magnitude of the impact of PECS on occupant thermal sensation, comfort, or acceptability, based on available data such as means, standard deviations, and the number of participants. Effect size helps to determine how strong or significant the observed effect is in relation to the overall population or sample."
